trade_date,n,day_ret_avg,day_pos,fwd3_avg,fwd3_hit,above20,ma20up,amount_avg,turnover_avg,m5_avg,m20_avg
2026-06-01,4362,1.22,70.43,-2.39,21.27,21.21,47.29,555323470.22,3.66,-2.09,-2.34
2026-06-02,4361,-0.99,24.21,-1.12,24.72,19.22,46.48,546664143.54,3.57,-1.2,-4.65
2026-06-03,4366,-0.44,30.33,-3.51,14.86,17.98,45.24,604849949.36,3.71,-2.16,-6.08
2026-06-04,4366,-1.04,23.8,-1.4,24.53,17.25,43.68,535490437.22,3.48,-1.25,-7.84
2026-06-05,4368,0.35,59.23,-2.87,18.06,17.72,42.06,599603058.77,3.85,-2.07,-8.46
2026-06-08,4367,-2.86,12.34,-1.05,28.42,13.46,40.35,545303719.26,3.73,-3.94,-10.24
2026-06-09,4366,1.14,60.93,-0.94,35.75,16.19,38.71,512689748.28,3.41,-2.42,-9.97
2026-06-10,4364,-1.14,29.86,2.09,59.07,16.06,36.8,501980674.73,3.44,-2.51,-9.45
2026-06-11,4361,-1.05,24.58,3.75,72.16,15.41,35.29,490629102.84,3.32,-3.89,-9.84
2026-06-12,4362,1.25,73.41,1.87,45.8,18.96,33.77,613070068.41,3.83,0.18,-8.83
2026-06-15,4358,1.91,70.19,-0.5,30.56,26.59,32.45,588828738.06,3.71,0.92,-7.78
2026-06-16,4361,0.54,47.76,-0.27,31.32,29.03,31.05,594085879.62,3.69,2.65,-6.52
2026-06-17,4360,-0.68,28.26,0.19,41.86,28.46,29.56,592544760.53,3.67,3.09,-4.41
2026-06-18,4357,-0.41,34.54,-0.67,28.53,26.76,28.64,631707794.2,3.71,1.51,-6.38
2026-06-22,4359,0.79,54.85,-2.71,19.5,30.88,27.37,722439267.08,4.27,0.32,-5.64
2026-06-23,4360,-0.18,49.01,-5.03,13.42,32.29,26.54,672410280.6,3.94,-0.5,-4.84
