price,ma5,ma10,ma20,ma60,high20,low5,vol_ratio,avg_range20,momentum20,momentum5,close_position,upper_shadow,lower_shadow,gap,ma10_dist,ma20_dist,high20_dist,amount,turnover,day_ret,low,fwd_1d_close_ret_pct,fwd_3d_close_ret_pct,code,name,trade_date,pe,pb,market_cap,is_theme,is_core_theme,is_satellite_theme,theme_tier,concepts,score,amount_score,quality_score,strategy,strategy_name,rank
13.59,13.169999999999998,12.77,12.144499999999999,11.630833333333333,13.71,12.24,1.446839381178286,5.1940285737361815,17.96875,2.6435045317220442,0.8536585365853647,0.1463414634146353,0.25609756097560854,1.708074534161483,6.421299921691471,11.902507307834824,-0.8752735229759452,2231944479.17,10.34,5.51,12.89,1.324503311258285,10.375275938189855,002171.SZ,楚江新材,2026-06-12,41.13,2.63,23061947161.0,True,True,False,core,"['铜缆高速连接', 'PCB', '半导体概念', '新材料']",4.05872,11.69396,4.40122,broad_trend,宽基趋势承接,1
9.12,9.044,8.686,8.014500000000002,7.741666666666666,9.41,7.82,1.6405136116341905,6.360367172287283,25.619834710743802,0.33003300330032914,0.7999999999999989,0.2000000000000011,0.2615384615384613,-1.1273957158962702,4.996546166244514,13.79374883024515,-3.0818278427205144,533960567.0,11.26,2.82,8.6,4.276315789473695,2.5219298245614086,300120.SZ,经纬辉开,2026-06-12,503.23,2.5,6266637765.0,True,True,False,core,['半导体概念'],4.049904,11.649015,4.424904,broad_trend,宽基趋势承接,2
15.67,15.298000000000002,14.285,13.360999999999999,12.647666666666668,16.31,13.46,1.765827806493899,5.836474423195276,29.397192402972763,9.580419580419573,0.6333333333333334,0.3666666666666666,0.6333333333333334,2.9546946815495687,9.695484774238722,17.281640595763804,-3.923973022685473,874533956.0,6.45,2.89,15.1,1.4677728142948432,8.998085513720477,600458.SH,时代新材,2026-06-12,23.1,1.82,14622137799.0,True,True,False,core,"['半导体概念', '新材料']",3.510988,12.177464,4.395988,broad_trend,宽基趋势承接,3
13.53,13.213999999999999,13.392000000000001,13.352500000000001,12.252,14.9,12.38,1.0098361162478202,7.622976028242862,1.1210762331838424,6.535433070866148,0.6036036036036029,0.3963963963963971,0.4864864864864868,0.7518796992481214,1.0304659498207656,1.3293390750795737,-9.194630872483216,436000422.0,10.08,1.73,12.86,6.57797487065781,8.130081300813007,603527.SH,众源新材,2026-06-12,26.43,1.94,4060401072.0,True,True,False,core,['铜缆高速连接'],3.495926,9.705377,4.255783,broad_trend,宽基趋势承接,4
6.47,6.411999999999999,6.379,6.3725,6.396666666666666,6.5,6.25,1.036076444564708,1.5469845466645085,0.6220839813374681,2.861685214626391,1.0,0.0,0.5454545454545447,-0.15552099533437058,1.426555886502598,1.5300117693213053,-0.461538461538467,276468982.0,1.18,0.62,6.36,0.15455950540959051,-0.9273570324574876,601128.SH,常熟银行,2026-06-12,4.48,0.68,21597220000.0,False,False,False,,[],3.458609,9.508827,5.160609,broad_trend,宽基趋势承接,5
167.32,163.342,157.349,149.402,114.64616666666666,175.98,149.0,1.028324724924185,8.26011082787176,30.210116731517502,7.277040456498042,0.5761194029850742,0.4238805970149257,0.2164179104477615,0.9944064636420222,6.336868998214172,11.99314600875492,-4.921013751562668,1957262919.0,6.18,3.99,159.6,10.596461869471675,7.727707387042804,300814.SZ,中富电路,2026-06-12,502.39,23.19,37979738189.0,True,True,False,core,"['CPO概念', 'PCB', '半导体概念', '液冷概念']",3.408027,11.83048,3.408027,broad_trend,宽基趋势承接,6
2.97,2.954,2.9810000000000003,2.968,2.9923333333333333,3.1,2.91,0.9411843469080288,2.1517567954285175,0.0,1.0204081632653157,1.0,0.0,0.4999999999999963,0.0,-0.36900369003690514,0.06738544474393393,-4.193548387096769,270662629.0,1.58,1.02,2.91,-1.3468013468013518,-2.020202020202022,601333.SH,XD广深铁,2026-06-12,8.62,0.71,19975574340.0,False,False,False,,[],3.405426,9.373613,4.98164,broad_trend,宽基趋势承接,7
33.69,32.864,33.846,33.288,28.262999999999998,36.88,30.96,0.9265940051857169,6.336253241834547,8.747579083279518,2.807445834604792,0.5129870129870128,0.4870129870129873,0.45454545454545664,1.022248947684929,-0.4609111859599295,1.2076423936553908,-8.64967462039047,742409048.0,4.39,1.29,32.9,5.135054912436932,10.121697833184928,605020.SH,永和股份,2026-06-12,29.2,3.69,21055947762.0,True,True,False,core,['液冷概念'],3.370343,10.234616,3.613557,broad_trend,宽基趋势承接,8
25.29,25.186,24.664,23.9185,22.6285,25.8,24.24,1.0689014489788211,3.4075410631884613,11.606354810238301,1.5254917703733355,0.7837837837837793,0.21621621621622064,0.7837837837837793,0.0,2.538112228349007,5.734055229215869,-1.976744186046517,392814286.68,1.61,0.0,25.0,-0.7117437722419906,-3.084223013048626,000766.SZ,通化金马,2026-06-12,633.88,9.98,23147548233.0,False,False,False,,[],3.369188,10.243406,3.369188,broad_trend,宽基趋势承接,9
20.83,20.663999999999998,20.651,20.554,20.744333333333334,21.12,20.27,1.1336494588203334,2.235745816861437,0.7740686985969774,1.6593460224499665,0.8837209302325564,0.1162790697674436,0.5813953488372097,0.24213075060532674,0.8667861120526936,1.342804320326934,-1.3731060606060765,161534444.0,1.38,0.87,20.45,0.720115218434958,-1.8242918867018676,600285.SH,羚锐制药,2026-06-12,11.15,3.63,10985026964.0,False,False,False,,[],3.365114,9.380618,4.139043,broad_trend,宽基趋势承接,10
7.46,7.358,7.457000000000001,7.033500000000001,6.846333333333333,8.07,7.09,1.006504971487628,4.18121947442896,11.343283582089555,-0.929614873837977,1.0,0.0,0.1470588235294113,0.0,0.040230655759685874,6.063837349825832,-7.558859975216862,930612319.86,2.24,4.04,7.12,-5.4959785522788245,-9.919571045576415,000983.SZ,山西焦煤,2026-06-12,10.4,0.91,33608438269.0,False,False,False,,[],3.315138,10.542438,4.790495,broad_trend,宽基趋势承接,11
16.48,16.132,15.803999999999998,15.3035,14.255666666666665,16.57,14.7,1.2357769932318061,5.50102126131982,11.27616475354489,-0.5431502715751293,0.9827586206896556,0.01724137931034446,0.2068965517241381,-0.5743458838545052,4.277398127056458,7.687783840297982,-0.5431502715751293,619645488.0,8.81,5.17,15.34,-0.7888349514563076,-3.762135922330101,603212.SH,赛伍技术,2026-06-12,-114.37,2.21,5276137070.0,True,False,True,satellite,"['新材料', 'MLCC']",3.265333,10.591729,7.980547,broad_trend,宽基趋势承接,12
8.0,7.906000000000001,8.061,7.7535,7.6855,8.75,7.48,1.1508234478664332,5.396257194715223,2.432778489116515,-2.557856272838009,1.0,0.0,0.2619047619047627,1.4511873350923565,-0.7567299342513252,3.179209389308042,-8.57142857142857,124987161.0,4.3,5.54,7.58,-0.7499999999999951,-7.1250000000000036,000430.SZ,张家界,2026-06-12,4.76,3.21,5829374678.0,False,False,False,,[],3.264889,9.369328,4.326389,broad_trend,宽基趋势承接,13
