序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,牙科医疗,1166.24,3.17,105.89,98.89,7.0,30,爱迪特,20.0,63.17
2,科创次新股,860.947,2.82,126.41,121.42,4.99,22,屹唐股份,19.99,33.07
3,培育钻石,2713.76,2.81,91.87,96.85,-4.98,18,博云新材,10.01,28.36
4,稀土永磁,4076.54,2.49,342.77,329.83,12.93,65,东方锆业,10.03,16.13
5,国家大基金持股,3489.55,2.36,932.64,929.04,3.6,48,燕东微,12.53,75.01
6,铜缆高速连接,3662.15,2.3,438.96,401.27,37.68,46,裕太微,20.0,238.8
7,共封装光学(CPO),7333.93,2.14,2911.62,2837.87,73.75,197,金戈新材,21.67,73.0
8,AI手机,2408.15,2.1,646.89,615.93,30.96,39,东方国信,20.03,18.7
9,重组蛋白,690.727,2.09,38.08,32.22,5.86,114,皓元医药,15.08,86.37
10,F5G概念,5103.86,2.09,629.24,570.13,59.11,36,光迅科技,10.0,266.2
11,智能音箱,2927.46,1.91,390.63,340.42,50.22,59,华兴源创,10.04,81.09
12,减肥药,1229.9,1.87,80.51,66.46,14.05,62,皓元医药,15.08,86.37
13,存储芯片,3150.9,1.83,2474.22,2470.11,4.1,191,麦捷科技,20.02,27.76
14,同花顺果指数,2713.89,1.82,692.73,673.77,18.96,20,蓝思科技,8.9,55.77
15,CRO概念,803.0,1.82,102.7,86.23,16.48,73,皓元医药,15.08,86.37
16,MLOps概念,1060.8,1.8,58.64,47.89,10.75,18,东方国信,20.03,18.7
17,细胞免疫治疗,1032.38,1.74,70.69,54.59,16.1,64,洁特生物,16.15,15.1
18,华为海思概念股,4651.8,1.73,285.59,280.52,5.08,51,晶升股份,20.01,80.44
19,英伟达概念,2052.9,1.71,754.6,718.77,35.83,76,麦捷科技,20.02,27.76
20,航空发动机,3634.96,1.7,299.7,293.17,6.53,97,铂力特,20.0,107.28
21,先进封装,3296.66,1.68,1992.98,2012.54,-19.56,184,联瑞新材,14.98,270.47
22,6G概念,2942.94,1.66,782.99,773.17,9.82,96,中京电子,10.02,20.32
23,数字水印,1138.96,1.65,56.69,52.3,4.39,30,东方国信,20.03,18.7
24,新型烟草(电子烟),2266.31,1.64,213.37,222.96,-9.59,53,富满微,11.06,60.47
25,注册制次新股,202.613,1.64,204.78,208.68,-3.89,80,新广益,20.0,82.44
26,AI语料,1162.53,1.6,129.88,109.04,20.84,52,东方国信,20.03,18.7
