序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,非金属材料,39380.7,4.99,37.12,45.78,-8.65,15,金戈新材,21.67,73.0
2,金属新材料,17853.9,2.45,89.17,80.06,9.11,34,江南新材,10.0,211.31
3,半导体,19599.0,2.29,2277.7,2158.04,119.66,179,晶升股份,20.01,80.44
4,小金属,10648.9,2.28,342.64,351.39,-8.75,29,东方锆业,10.03,16.13
5,医疗服务,15889.3,1.96,74.48,59.46,15.02,56,皓元医药,15.08,86.37
6,元件,30755.9,1.92,772.96,759.92,13.04,62,麦捷科技,20.02,27.76
7,生物制品,5519.66,1.76,35.05,29.69,5.36,54,诺思兰德,13.57,19.41
8,其他电子,25583.1,1.51,163.59,162.21,1.37,34,洁美科技,10.0,99.73
9,自动化设备,34145.1,1.43,362.56,344.96,17.6,96,凌云光,14.1,69.09
10,通用设备,10035.8,1.29,342.96,339.39,3.57,251,春晖智控,20.0,41.4
11,通信设备,10834.7,1.28,1034.17,983.4,50.77,91,中瓷电子,10.0,176.29
12,通信服务,2894.19,1.28,73.89,77.1,-3.2,45,中富通,10.49,18.75
13,消费电子,14258.4,1.18,533.21,480.62,52.59,95,易德龙,10.0,41.03
14,游戏,8799.87,0.83,55.73,48.71,7.02,24,昆仑万维,10.97,43.0
15,电子化学品,117375.0,0.66,313.4,327.05,-13.66,42,国瓷材料,14.05,89.53
16,化学制药,5683.57,0.66,114.73,101.61,13.12,159,海欣股份,9.99,8.04
17,环保设备,1464.4,0.57,17.66,18.93,-1.28,30,碧兴物联,20.0,30.78
18,电机,3779.45,0.47,26.41,25.88,0.53,26,方正电机,5.28,12.97
19,医疗器械,10590.7,0.41,68.57,69.47,-0.9,139,丹娜生物,20.95,41.97
20,计算机设备,4139.6,0.35,167.46,163.95,3.51,83,智微智能,10.0,126.93
21,IT服务,12660.0,0.35,192.1,177.45,14.65,130,东方国信,20.03,18.7
22,纺织制造,2216.42,0.16,11.6,11.51,0.09,33,兴业科技,10.02,17.9
23,专用设备,7905.96,0.15,219.84,216.97,2.87,200,中泰股份,12.97,23.95
24,其他电源设备,7378.84,0.09,101.71,99.33,2.38,35,高特电子,13.64,41.99
25,钢铁,1549.59,0.04,38.56,41.75,-3.19,44,抚顺特钢,10.09,4.69
26,军工电子,13851.1,0.0,128.78,132.0,-3.22,62,观想科技,10.59,52.3
27,军工装备,2289.05,-0.03,167.47,184.48,-17.01,82,博云新材,10.01,28.36
28,软件开发,1931.62,-0.05,134.85,138.09,-3.24,139,科创信息,12.96,14.29
